1023019,6825,165,30,2,6,MOTA KANGHASAR,41.36363636,4
1039005,6766,119,45,2,4,TRAMBODA,56.85714286,4
2008024,6521,54,30,2,7,DHAMRASLA,120.7592593,4
1011009,6507,18,50,1,4,KANDHASAR,361.5,4
2007024,6483,81,29,1,10,DHAJALA,80.03703704,4
1016015,6463,76,45,2,0,KHERANA,85.03947368,4
1005031,6430,122,26.5,2,6,BHIMORA,52.70491803,4
1005004,6337,36,41,1,6,BHIMORA,176.0277778,4
1019032,6143,199,50,2,2,LAKHCHOKIYA,30.86934673,4
1034024,6107,35,35,2,3,SANOSARA,174.4857143,4
1001040,6070,142,35,2,5,AKALA,42.74647887,4
1016025,5993,79,40,1,1,KHERANA,75.86075949,4
1006036,5655,109,30,2,10,CHIRODA,51.88073394,4
2007018,5628,270,33,1,7,DHAJALA,20.84444444,4
1002029,5556,37,43,1,12,BAMANBOR,150.1621622,4
1002003,5501,171,50,2,0,BAMANBOR,32.16959064,4
1010012,5409,62,40,2,4,HIRASAR,87.24193548,4
1010009,5373,51,37,1,9,HIRASAR,105.3529412,4
1019022,5352,6,50,1,0,LAKHCHOKIYA,892,4
1005007,5181,62,50,1,0,BHIMORA,83.56451613,4
1034026,5079,9,28,2,5,SANOSARA,564.3333333,4
1023021,5067,9,35,2,0,MOTA KANGHASAR,563,4
2009001,5063,56,31,2,16,DHANDHALPUR,90.41071429,4
1006037,5056,49,19,2,7,CHIRODA,103.1836735,4
1011001,4960,49,23,1,7,KANDHASAR,101.2244898,4
1031007,4538,16,30,2,6,PIPLIYA (DHORA),283.625,4
1037008,4202,61,37,1,5,SURAI,68.8852459,4
1010023,4139,90,25,2,16,HIRASAR,45.98888889,4
1032035,4074,22,38,2,0,RAJAVAD,185.1818182,4
1034038,4023,27,40,2,0,SANOSARA,149,4
1034022,4019,93,27,1,0,SANOSARA,43.21505376,4
1030029,3967,12,35,2,5,PANCHAVADA,330.5833333,4
1023024,3801,12,25,1,0,MOTA KANGHASAR,316.75,4
1033007,3750,21,40,1,2,SANGANI,178.5714286,4
1032019,3488,47,30,2,0,RAJAVAD,74.21276596,4
1023030,3339,46,40,1,0,MOTA KANGHASAR,72.58695652,4
1031006,3326,69,65,2,7,PIPLIYA (DHORA),48.20289855,4
1011024,3298,100,20,1,16,KANDHASAR,32.98,4
1032008,3282,12,48,1,4,RAJAVAD,273.5,4
1022025,3239,76,40,2,0,MOKASAR,42.61842105,4
1037006,3198,24,71,2,1,SURAI,133.25,4
1038001,3016,32,38,2,9,TAJPAR,94.25,4
1005003,3010,28,22,1,7,BHIMORA,107.5,4
1030032,3007,150,23,1,3,PANCHAVADA,20.04666667,4
1001033,2979,68,27.5,1,2,AKALA,43.80882353,4
1032029,2965,29,45,1,0,RAJAVAD,102.2413793,4
1016026,2936,77,30,2,6,KHERANA,38.12987013,4
1027025,2923,48,37,1,4,NANI MORSAL,60.89583333,4
1023009,2910,8,35,2,0,MOTA KANGHASAR,363.75,4
1002036,2846,28,35,2,0,BAMANBOR,101.6428571,4
1022010,2829,6,25,2,4,MOKASAR,471.5,4
1011021,2759,22,28,2,16,KANDHASAR,125.4090909,4
1032021,2735,59,30,1,5,RAJAVAD,46.3559322,4
1034010,2687,80,29,2,8,SANOSARA,33.5875,4
1034008,2656,33,40,1,0,SANOSARA,80.48484848,4
1006027,2557,34,20,1,0,CHIRODA,75.20588235,4
1010013,2544,15,41,2,7,HIRASAR,169.6,4
1033004,2517,27,18,2,9,SANGANI,93.22222222,4
1001032,2487,75,27,1,0,AKALA,33.16,4
1019003,2412,17,48,2,7,LAKHCHOKIYA,141.8823529,4
1038028,2323,39,18,1,7,TAJPAR,59.56410256,4
1004013,2280,19,50,1,0,BHETSUDA,120,4
1030003,2275,36,35,1,7,PANCHAVADA,63.19444444,4
1030001,2216,51,27,1,12,PANCHAVADA,43.45098039,4
1038027,2208,42,32,1,5,TAJPAR,52.57142857,4
2008014,2144,8,40,2,0,DHAMRASLA,268,4
1033033,2131,11,25,2,0,SANGANI,193.7272727,4
1016009,2122,38,35,2,3,KHERANA,55.84210526,4
1031030,2017,41,40,1,8,PIPLIYA (DHORA),49.19512195,4
1006020,1965,53,45,1,5,CHIRODA,37.0754717,4
1030006,1870,3,25,2,9,PANCHAVADA,623.3333333,4
1023026,1864,3,35,1,0,MOTA KANGHASAR,621.3333333,4
1005024,1857,29,52.5,1,1,BHIMORA,64.03448276,4
1016024,1804,25,31,1,10,KHERANA,72.16,4
1039010,1803,58,52,1,0,TRAMBODA,31.0862069,4
1010011,1802,2,36,2,11,HIRASAR,901,4
2007016,1800,26,23,2,8,DHAJALA,69.23076923,4
2003029,1680,18,26,1,10,BHADUKA,93.33333333,4
1033027,1635,26,24,2,9,SANGANI,62.88461538,4
1022011,1605,54,35,1,7,MOKASAR,29.72222222,4
1001002,1590,75,25,2,0,AKALA,21.2,4
1016004,1590,34,42.5,2,0,KHERANA,46.76470588,4
1002019,1521,3,35,2,0,BAMANBOR,507,4
1011036,1501,28,35,2,4,KANDHASAR,53.60714286,4
1022012,1483,19,55,2,3,MOKASAR,78.05263158,4
1001025,1432,21,20,1,8,AKALA,68.19047619,4
1005015,1395,29,28,1,7,BHIMORA,48.10344828,4
1033018,1293,31,60,1,7,SANGANI,41.70967742,4
1011008,1282,129,40,1,4,KANDHASAR,9.937984496,4
2008030,1276,10,39,2,1,DHAMRASLA,127.6,4
1006040,1171,12,50,1,6,CHIRODA,97.58333333,4
2007040,1112,12,62,2,8,DHAJALA,92.66666667,4
2009007,1078,43,40,1,5,DHANDHALPUR,25.06976744,4
1034006,1045,33,35,2,0,SANOSARA,31.66666667,4
1038014,1039,30,22,1,16,TAJPAR,34.63333333,4
2009009,971,2913,60,1,7,DHANDHALPUR,0.333333333,4
1039008,947,27,30,2,7,TRAMBODA,35.07407407,4
1033023,932,4,30,2,0,SANGANI,233,4
2008021,918,30,31,1,10,DHAMRASLA,30.6,4
1031014,885,6,37,2,12,PIPLIYA (DHORA),147.5,4
1022013,864,3,33,1,7,MOKASAR,288,4
1016006,828,6,31,2,6,KHERANA,138,4
1032018,788,18,48,1,4,RAJAVAD,43.77777778,4
1027028,754,10,35,1,4,NANI MORSAL,75.4,4
1011031,723,13,50,2,0,KANDHASAR,55.61538462,4
1016019,680,10,35,1,0,KHERANA,68,4
1027023,678,15,32,2,0,NANI MORSAL,45.2,4
1033012,665,15,24,1,7,SANGANI,44.33333333,4
1038025,660,9,42.5,1,0,TAJPAR,73.33333333,4
1002011,640,6,26.5,1,5,BAMANBOR,106.6666667,4
1027021,628,2,35.5,2,3,NANI MORSAL,314,4
1033013,595,5,43,2,0,SANGANI,119,4
1027004,584,21,35,1,0,NANI MORSAL,27.80952381,4
1030002,578,10,40,2,10,PANCHAVADA,57.8,4
1039006,570,8,33,1,10,TRAMBODA,71.25,4
1019021,549,18,72,1,4,LAKHCHOKIYA,30.5,4
1022035,528,18,30,1,1,MOKASAR,29.33333333,4
1038024,511,22,28,2,0,TAJPAR,23.22727273,4
1006004,503,5,52.5,2,0,CHIRODA,100.6,4
1031003,458,5,33,2,10,PIPLIYA (DHORA),91.6,4
2003007,458,8,45,1,6,BHADUKA,57.25,4
1027018,444,12,28,2,5,NANI MORSAL,37,4
1011017,413,6,32,1,2,KANDHASAR,68.83333333,4
1004028,387,15,49,2,0,BHETSUDA,25.8,4
2003036,375,15,47,1,0,BHADUKA,25,4
2003015,374,4,28,1,7,BHADUKA,93.5,4
1038034,372,12,25,1,7,TAJPAR,31,4
1006003,360,12,29,2,8,CHIRODA,30,4
1023040,360,16,22,1,6,MOTA KANGHASAR,22.5,4
1005042,351,19,30,2,4,BHIMORA,18.47368421,4
1001015,348,3,27,1,3,AKALA,116,4
1034034,348,6,35,2,8,SANOSARA,58,4
1032002,337,2,26.5,2,0,RAJAVAD,168.5,4
1011019,333,12,24,1,5,KANDHASAR,27.75,4
1004007,318,12,30,1,3,BHETSUDA,26.5,4
1037017,314,6,28,1,3,SURAI,52.33333333,4
1001029,312,6,45,1,3,AKALA,52,4
